label,f_obs,freq_err,a_obs,amp_err,n_obs,l_obs,m_obs
U71,36.393677,3.0292e-05,6.0847e-05,2.7137e-06,-1,-1,-1
U72,36.903287,7.7357e-05,2.3827e-05,2.7137e-06,-1,-1,-1
U73,37.170155,4.4774e-05,4.1166e-05,2.7137e-06,-1,-1,-1
U74,37.326353,5.6318e-05,3.2728e-05,2.7137e-06,-1,-1,-1
U75,37.454658,7.2287e-05,2.5498e-05,2.7137e-06,-1,-1,-1
U76,38.432107,3.5587e-06,0.00051793,2.7137e-06,-1,-1,-1
U77,38.745275,6.0125e-05,3.0656e-05,2.7137e-06,-1,-1,-1
F9,38.994598,2.0245e-05,9.1042e-05,2.7137e-06,4,0,0
U78,39.200343,6.5461e-05,2.8156e-05,2.7137e-06,-1,-1,-1
U79,39.286598,6.1043e-05,3.0194e-05,2.7137e-06,-1,-1,-1
U80,39.393563,2.321e-05,7.9411e-05,2.7137e-06,-1,-1,-1
U81,39.582486,1.3712e-05,0.00013442,2.7137e-06,-1,-1,-1
U82,39.864837,6.3208e-05,2.916e-05,2.7137e-06,-1,-1,-1
U83,39.976196,7.6465e-05,2.4104e-05,2.7137e-06,-1,-1,-1
U84,40.494149,9.0616e-05,2.034e-05,2.7137e-06,-1,-1,-1
U85,40.90964,4.2912e-05,4.2952e-05,2.7137e-06,-1,-1,-1
U86,41.162577,1.4459e-05,0.00012748,2.7137e-06,-1,-1,-1
U87,41.637431,9.4401e-05,1.9525e-05,2.7137e-06,-1,-1,-1
F10,41.848537,1.9089e-05,9.6555e-05,2.7137e-06,4,1,0
U88,42.217903,6.3935e-05,2.8829e-05,2.7137e-06,-1,-1,-1
F11,43.015687,7.9993e-05,2.3041e-05,2.7137e-06,4,1,1
U89,43.134676,9.3093e-05,1.9799e-05,2.7137e-06,-1,-1,-1
U90,43.435228,5.2988e-05,3.4785e-05,2.7137e-06,-1,-1,-1
U91,44.696854,6.4407e-05,2.8617e-05,2.7137e-06,-1,-1,-1
F12,45.280532,6.1058e-05,3.0187e-05,2.7137e-06,5,0,0
U92,46.028023,5.5783e-05,3.3042e-05,2.7137e-06,-1,-1,-1
U93,46.255484,1.568e-05,0.00011755,2.7137e-06,-1,-1,-1
U94,46.524077,2.9508e-05,6.2463e-05,2.7137e-06,-1,-1,-1
U95,46.895583,9.8205e-05,1.8769e-05,2.7137e-06,-1,-1,-1
U96,46.978612,7.4968e-05,2.4586e-05,2.7137e-06,-1,-1,-1
U97,47.409308,3.9182e-05,4.704e-05,2.7137e-06,-1,-1,-1
U98,48.907915,8.5391e-05,2.1585e-05,2.7137e-06,-1,-1,-1
F13,49.842697,4.9174e-05,3.7482e-05,2.7137e-06,5,1,1
F14,52.219648,2.1495e-05,8.5747e-05,2.7137e-06,6,0,0
U99,53.293121,6.5686e-05,2.806e-05,2.7137e-06,-1,-1,-1
U100,53.879545,2.7256e-05,6.7623e-05,2.7137e-06,-1,-1,-1
U101,55.141997,7.7297e-05,2.3845e-05,2.7137e-06,-1,-1,-1
U102,57.290531,5.0102e-05,3.6788e-05,2.7137e-06,-1,-1,-1
F15,59.019493,0.00010472,1.76e-05,2.7137e-06,7,0,0
U103,59.228091,5.697e-05,3.2353e-05,2.7137e-06,-1,-1,-1
U104,62.812181,9.0416e-05,2.0385e-05,2.7137e-06,-1,-1,-1
U105,64.031541,4.3605e-05,4.227e-05,2.7137e-06,-1,-1,-1
F16,65.804022,6.7804e-05,2.7183e-05,2.7137e-06,8,0,0
U106,65.924777,6.235e-05,2.9562e-05,2.7137e-06,-1,-1,-1
