label,f_obs,freq_err,a_obs,amp_err,n_obs,l_obs,m_obs
U1,0.15271,3.8191e-05,4.0832e-05,2.2959e-06,-1,-1,-1
U2,0.174681,5.7548e-05,2.7098e-05,2.2959e-06,-1,-1,-1
U3,0.248886,4.3729e-05,3.5661e-05,2.2959e-06,-1,-1,-1
U4,0.324486,6.0149e-05,2.5926e-05,2.2959e-06,-1,-1,-1
U5,0.398631,6.2599e-05,2.4911e-05,2.2959e-06,-1,-1,-1
U6,0.479485,8.4014e-05,1.8561e-05,2.2959e-06,-1,-1,-1
U7,0.620677,9.7878e-05,1.5932e-05,2.2959e-06,-1,-1,-1
U8,0.855703,0.00013581,1.1482e-05,2.2959e-06,-1,-1,-1
U9,1.010429,0.00012296,1.2682e-05,2.2959e-06,-1,-1,-1
U10,1.199628,0.00010258,1.5202e-05,2.2959e-06,-1,-1,-1
U11,2.068943,0.00012974,1.202e-05,2.2959e-06,-1,-1,-1
U12,2.420238,0.00011683,1.3347e-05,2.2959e-06,-1,-1,-1
U13,2.510732,0.00012146,1.2839e-05,2.2959e-06,-1,-1,-1
U14,2.782721,0.00012902,1.2086e-05,2.2959e-06,-1,-1,-1
U15,3.307981,0.00012156,1.2828e-05,2.2959e-06,-1,-1,-1
U16,3.357511,0.00012725,1.2254e-05,2.2959e-06,-1,-1,-1
U17,6.806055,0.00011537,1.3517e-05,2.2959e-06,-1,-1,-1
U18,7.169005,0.00011824,1.3188e-05,2.2959e-06,-1,-1,-1
U19,7.868411,0.00012909,1.2081e-05,2.2959e-06,-1,-1,-1
U20,18.381843,9.123e-05,1.7093e-05,2.2959e-06,-1,-1,-1
U21,18.636615,0.00011565,1.3484e-05,2.2959e-06,-1,-1,-1
F1,19.814605,5.3938e-05,2.8911e-05,2.2959e-06,-1,3,-2
U22,20.01547,0.00013595,1.147e-05,2.2959e-06,-1,-1,-1
F2,20.286257,9.7969e-05,1.5917e-05,2.2959e-06,-1,3,-1
F3,20.810068,5.6096e-05,2.7799e-05,2.2959e-06,-1,3,0
U23,21.042718,7.9616e-05,1.9587e-05,2.2959e-06,-1,-1,-1
U24,21.156524,8.8923e-05,1.7537e-05,2.2959e-06,-1,-1,-1
U25,21.332167,0.00010074,1.548e-05,2.2959e-06,-1,-1,-1
F4,22.377375,0.00012594,1.2382e-05,2.2959e-06,0,2,0
F5,22.886681,5.799e-05,2.6891e-05,2.2959e-06,0,2,1
F6,23.48071,2.2097e-05,7.0573e-05,2.2959e-06,0,2,2
U26,25.837916,0.00013634,1.1438e-05,2.2959e-06,-1,-1,-1
U27,26.387668,9.5696e-05,1.6296e-05,2.2959e-06,-1,-1,-1
U28,26.766279,0.00010947,1.4246e-05,2.2959e-06,-1,-1,-1
U29,26.946128,7.8239e-05,1.9932e-05,2.2959e-06,-1,-1,-1
U30,27.558482,6.7086e-05,2.3245e-05,2.2959e-06,-1,-1,-1
U31,28.042628,4.93e-05,3.1631e-05,2.2959e-06,-1,-1,-1
U32,28.181298,3.9995e-05,3.899e-05,2.2959e-06,-1,-1,-1
F7,28.319752,3.2286e-05,4.8301e-05,2.2959e-06,1,3,0
F8,28.741791,0.00013035,1.1963e-05,2.2959e-06,2,1,0
F9,29.828914,0.00011016,1.4156e-05,2.2959e-06,1,3,3
U33,32.219601,3.8571e-05,4.043e-05,2.2959e-06,-1,-1,-1
U34,32.759452,0.00011104,1.4044e-05,2.2959e-06,-1,-1,-1
U35,33.272962,9.3129e-05,1.6745e-05,2.2959e-06,-1,-1,-1
U36,34.133843,8.8019e-05,1.7717e-05,2.2959e-06,-1,-1,-1
U37,34.756486,0.00012202,1.278e-05,2.2959e-06,-1,-1,-1
U38,35.113458,3.0418e-05,5.1266e-05,2.2959e-06,-1,-1,-1
U39,35.252237,3.7438e-05,4.1653e-05,2.2959e-06,-1,-1,-1
F10,35.556746,5.4875e-05,2.8418e-05,2.2959e-06,3,1,0
U40,37.191784,0.00013196,1.1817e-05,2.2959e-06,-1,-1,-1
U41,37.439637,0.0001118,1.3948e-05,2.2959e-06,-1,-1,-1
U42,37.525939,1.3827e-05,0.00011278,2.2959e-06,-1,-1,-1
U43,39.024475,6.1568e-05,2.5328e-05,2.2959e-06,-1,-1,-1
U44,39.098794,0.00010928,1.427e-05,2.2959e-06,-1,-1,-1
U45,39.314921,2.4464e-05,6.3744e-05,2.2959e-06,-1,-1,-1
U46,39.42338,0.00010554,1.4776e-05,2.2959e-06,-1,-1,-1
F11,39.519863,3.8824e-05,4.0166e-05,2.2959e-06,4,0,0
U47,39.766126,7.9048e-05,1.9728e-05,2.2959e-06,-1,-1,-1
U48,40.932966,7.7497e-05,2.0122e-05,2.2959e-06,-1,-1,-1
U49,41.14788,1.2548e-05,0.00012428,2.2959e-06,-1,-1,-1
U50,41.343418,1.2969e-05,0.00012025,2.2959e-06,-1,-1,-1
U51,42.326009,2.068e-05,7.5406e-05,2.2959e-06,-1,-1,-1
F12,42.602796,2.333e-05,6.6843e-05,2.2959e-06,4,1,0
U52,42.731167,2.807e-05,5.5554e-05,2.2959e-06,-1,-1,-1
F13,42.954412,1.423e-05,0.00010959,2.2959e-06,4,1,1
U53,43.04286,4.2202e-05,3.6951e-05,2.2959e-06,-1,-1,-1
U54,43.402821,1.761e-05,8.8553e-05,2.2959e-06,-1,-1,-1
U55,44.114647,0.00013505,1.1547e-05,2.2959e-06,-1,-1,-1
U56,44.283381,8.2862e-05,1.882e-05,2.2959e-06,-1,-1,-1
U57,45.949695,3.8241e-05,4.0779e-05,2.2959e-06,-1,-1,-1
F14,46.105195,1.1168e-06,0.0013964,2.2959e-06,5,0,0
U58,46.309943,5.3489e-06,0.00029154,2.2959e-06,-1,-1,-1
U59,46.447666,3.773e-05,4.1331e-05,2.2959e-06,-1,-1,-1
U60,46.533927,5.6511e-06,0.00027595,2.2959e-06,-1,-1,-1
U61,47.318156,0.00011535,1.3519e-05,2.2959e-06,-1,-1,-1
U62,47.683325,0.00010514,1.4833e-05,2.2959e-06,-1,-1,-1
U63,48.549872,0.00011978,1.3019e-05,2.2959e-06,-1,-1,-1
U64,49.473771,1.7674e-05,8.8232e-05,2.2959e-06,-1,-1,-1
F15,49.675159,1.5121e-06,0.0010313,2.2959e-06,5,1,0
U65,49.814404,7.5716e-06,0.00020596,2.2959e-06,-1,-1,-1
F16,50.074769,8.798e-05,1.7725e-05,2.2959e-06,5,1,1
U66,50.154191,7.0584e-05,2.2093e-05,2.2959e-06,-1,-1,-1
U67,50.295049,6.3125e-05,2.4704e-05,2.2959e-06,-1,-1,-1
U68,51.944839,9.2366e-05,1.6883e-05,2.2959e-06,-1,-1,-1
U69,53.011434,0.00013158,1.1852e-05,2.2959e-06,-1,-1,-1
F17,53.175597,1.1585e-06,0.0013461,2.2959e-06,6,0,0
U70,53.18492,1.3962e-05,0.00011169,2.2959e-06,-1,-1,-1
U71,53.327177,3.7681e-05,4.1385e-05,2.2959e-06,-1,-1,-1
U72,53.421013,9.4291e-05,1.6538e-05,2.2959e-06,-1,-1,-1
U73,54.370135,0.00012331,1.2646e-05,2.2959e-06,-1,-1,-1
U74,56.441686,0.00010639,1.4658e-05,2.2959e-06,-1,-1,-1
F18,56.705098,9.7338e-05,1.6021e-05,2.2959e-06,6,1,0
F19,60.127426,0.00013549,1.1509e-05,2.2959e-06,7,0,0
U75,60.240051,0.00010318,1.5114e-05,2.2959e-06,-1,-1,-1
U76,60.963055,9.2217e-05,1.691e-05,2.2959e-06,-1,-1,-1
U77,63.38433,6.3242e-05,2.4658e-05,2.2959e-06,-1,-1,-1
F20,63.62725,4.5113e-05,3.4567e-05,2.2959e-06,7,1,0
F21,64.105959,5.9952e-05,2.6011e-05,2.2959e-06,7,1,1
U78,66.902715,7.3607e-05,2.1186e-05,2.2959e-06,-1,-1,-1
U79,70.248705,8.6141e-05,1.8103e-05,2.2959e-06,-1,-1,-1
F22,71.056389,7.6365e-05,2.0421e-05,2.2959e-06,8,1,1
