label,f_obs,freq_err,a_obs,amp_err,n_obs,l_obs,m_obs
U46,27.051095,3.6892e-05,4.5505e-05,2.4717e-06,-1,-1,-1
F10,27.4645,6.9e-06,0.00024221,2.4717e-06,2,0,0
U47,27.694994,1.9655e-05,8.5414e-05,2.4717e-06,-1,-1,-1
U48,28.08052,1.8849e-05,8.9062e-05,2.4717e-06,-1,-1,-1
U49,28.159412,3.5501e-05,4.7288e-05,2.4717e-06,-1,-1,-1
U50,28.731801,2.2429e-05,7.4847e-05,2.4717e-06,-1,-1,-1
U51,28.867759,1.6209e-05,0.00010357,2.4717e-06,-1,-1,-1
U52,29.116553,5.6512e-05,2.9706e-05,2.4717e-06,-1,-1,-1
U53,29.262707,6.7083e-05,2.5025e-05,2.4717e-06,-1,-1,-1
U54,29.376799,4.8234e-05,3.4804e-05,2.4717e-06,-1,-1,-1
U55,30.017447,5.0607e-05,3.3173e-05,2.4717e-06,-1,-1,-1
U56,30.210613,4.8946e-05,3.4299e-05,2.4717e-06,-1,-1,-1
U57,30.376117,2.3853e-05,7.0379e-05,2.4717e-06,-1,-1,-1
U58,30.773071,6.5747e-05,2.5534e-05,2.4717e-06,-1,-1,-1
U59,31.37403,8.3898e-05,2.001e-05,2.4717e-06,-1,-1,-1
U60,31.964631,4.1004e-05,4.0942e-05,2.4717e-06,-1,-1,-1
U61,32.147236,7.9933e-05,2.1002e-05,2.4717e-06,-1,-1,-1
F11,32.3818,1e-05,0.00016301,2.4717e-06,2,2,1
U62,32.642693,3.3235e-05,5.0513e-05,2.4717e-06,-1,-1,-1
F12,32.9347,6.7e-06,0.00025145,2.4717e-06,2,2,2
F13,33.2308,4e-05,4.2351e-05,2.4717e-06,3,0,0
F14,33.9521,1.6e-05,0.00010351,2.4717e-06,2,3,0
U63,34.46062,2.7482e-05,6.1085e-05,2.4717e-06,-1,-1,-1
U64,35.004331,8.0293e-05,2.0908e-05,2.4717e-06,-1,-1,-1
F15,35.3399,4e-06,0.0004229,2.4717e-06,3,1,0
U65,35.449406,3.0036e-05,5.5891e-05,2.4717e-06,-1,-1,-1
F16,35.7145,2.3e-06,0.00072246,2.4717e-06,2,3,3
F17,35.9687,6.5e-06,0.00025878,2.4717e-06,3,1,1
U66,36.274262,9.5449e-05,1.7588e-05,2.4717e-06,-1,-1,-1
U67,36.677609,4.493e-05,3.7364e-05,2.4717e-06,-1,-1,-1
U68,37.19819,3.2207e-05,5.2124e-05,2.4717e-06,-1,-1,-1
U69,37.597066,3.3674e-05,4.9854e-05,2.4717e-06,-1,-1,-1
U70,39.031884,9.4414e-07,0.0017781,2.4717e-06,-1,-1,-1
U71,39.122289,3.8446e-05,4.3665e-05,2.4717e-06,-1,-1,-1
U72,39.198113,5.9604e-05,2.8165e-05,2.4717e-06,-1,-1,-1
U73,39.608189,3.8979e-05,4.3068e-05,2.4717e-06,-1,-1,-1
U74,39.702699,7.7633e-05,2.1624e-05,2.4717e-06,-1,-1,-1
U75,39.839227,4.4323e-05,3.7876e-05,2.4717e-06,-1,-1,-1
U76,40.472223,9.6107e-05,1.7468e-05,2.4717e-06,-1,-1,-1
F18,41.2826,3.8e-05,4.4751e-05,2.4717e-06,3,3,1
U77,42.049096,4.3371e-05,3.8707e-05,2.4717e-06,-1,-1,-1
F19,42.2785,4.9e-06,0.00034285,2.4717e-06,4,1,0
U78,42.630559,1.6115e-05,0.00010417,2.4717e-06,-1,-1,-1
F20,42.8191,5.6e-05,3.022e-05,2.4717e-06,4,1,1
U79,43.462153,2.8718e-05,5.8457e-05,2.4717e-06,-1,-1,-1
F21,45.7048,3.5e-06,0.00048204,2.4717e-06,5,0,0
U80,45.939639,8.2477e-05,2.0354e-05,2.4717e-06,-1,-1,-1
U81,46.454869,7.5313e-05,2.229e-05,2.4717e-06,-1,-1,-1
U82,46.559068,7.9217e-05,2.1192e-05,2.4717e-06,-1,-1,-1
U83,47.694203,8.8817e-05,1.8901e-05,2.4717e-06,-1,-1,-1
F22,49.2945,2.6e-05,6.555e-05,2.4717e-06,5,1,0
U84,49.454617,2.8141e-05,5.9655e-05,2.4717e-06,-1,-1,-1
U85,50.038105,5.5812e-05,3.0079e-05,2.4717e-06,-1,-1,-1
U86,51.912116,6.8483e-05,2.4514e-05,2.4717e-06,-1,-1,-1
F23,52.6961,2.7e-05,6.1888e-05,2.4717e-06,6,0,0
U87,52.753762,8.8191e-05,1.9036e-05,2.4717e-06,-1,-1,-1
U88,53.004076,9.5659e-05,1.7549e-05,2.4717e-06,-1,-1,-1
U89,53.277623,8.0331e-05,2.0898e-05,2.4717e-06,-1,-1,-1
F24,56.3114,1.4e-05,0.00012059,2.4717e-06,6,1,0
U90,56.64307,8.4456e-05,1.9878e-05,2.4717e-06,-1,-1,-1
F25,59.6847,2e-05,8.5941e-05,2.4717e-06,7,0,0
F26,63.2327,5.3e-05,3.149e-05,2.4717e-06,7,1,0
U91,63.387288,7.5294e-05,2.2296e-05,2.4717e-06,-1,-1,-1
