label,f_obs,freq_err,a_obs,amp_err,n_obs,l_obs,m_obs
U1,0.135459,3.4059e-05,4.9289e-05,2.4717e-06,-1,-1,-1
U2,0.245973,4.783e-05,3.5099e-05,2.4717e-06,-1,-1,-1
U3,0.321752,5.4533e-05,3.0785e-05,2.4717e-06,-1,-1,-1
U4,0.465622,6.2383e-05,2.6911e-05,2.4717e-06,-1,-1,-1
U5,0.624812,7.4889e-05,2.2417e-05,2.4717e-06,-1,-1,-1
U6,1.0836,8.7646e-05,1.9154e-05,2.4717e-06,-1,-1,-1
U7,1.560393,9.4979e-05,1.7675e-05,2.4717e-06,-1,-1,-1
U8,1.682083,8.4416e-05,1.9887e-05,2.4717e-06,-1,-1,-1
U9,1.85193,2.9505e-05,5.6897e-05,2.4717e-06,-1,-1,-1
U10,2.044752,4.7578e-05,3.5284e-05,2.4717e-06,-1,-1,-1
U11,2.299503,8.8838e-05,1.8897e-05,2.4717e-06,-1,-1,-1
U12,2.548851,7.6004e-05,2.2088e-05,2.4717e-06,-1,-1,-1
U13,2.937736,9.8489e-05,1.7045e-05,2.4717e-06,-1,-1,-1
U14,3.12718,9.877e-06,0.00016997,2.4717e-06,-1,-1,-1
U15,3.466224,8.5675e-05,1.9595e-05,2.4717e-06,-1,-1,-1
U16,6.258516,7.4916e-05,2.2409e-05,2.4717e-06,-1,-1,-1
U17,6.929014,7.8775e-05,2.1311e-05,2.4717e-06,-1,-1,-1
U18,9.338661,3.559e-05,4.717e-05,2.4717e-06,-1,-1,-1
U19,18.406813,3.4598e-05,4.8523e-05,2.4717e-06,-1,-1,-1
U20,18.481178,6.7757e-05,2.4776e-05,2.4717e-06,-1,-1,-1
U21,18.577837,1.8528e-05,9.0608e-05,2.4717e-06,-1,-1,-1
F1,18.8138,4e-06,0.00041558,2.4717e-06,-2,3,3
U22,19.130449,1.2905e-05,0.00013008,2.4717e-06,-1,-1,-1
U23,19.358525,3.1844e-05,5.2718e-05,2.4717e-06,-1,-1,-1
U24,19.518518,2.757e-05,6.0891e-05,2.4717e-06,-1,-1,-1
U25,19.753567,5.1029e-05,3.2898e-05,2.4717e-06,-1,-1,-1
U26,19.842958,2.3527e-05,7.1354e-05,2.4717e-06,-1,-1,-1
U27,20.11005,1.1438e-05,0.00014677,2.4717e-06,-1,-1,-1
U28,20.253547,3.8618e-05,4.3471e-05,2.4717e-06,-1,-1,-1
U29,20.440748,8.584e-06,0.00019557,2.4717e-06,-1,-1,-1
U30,20.758815,1.5058e-05,0.00011149,2.4717e-06,-1,-1,-1
F2,20.9829,2.8e-06,0.00059897,2.4717e-06,0,2,-2
U31,21.67393,1.0365e-05,0.00016197,2.4717e-06,-1,-1,-1
F3,21.7921,3.4e-05,4.9844e-05,2.4717e-06,1,1,0
U32,22.298469,5.5425e-05,3.0289e-05,2.4717e-06,-1,-1,-1
F4,22.4121,5.4e-05,3.0826e-05,2.4717e-06,1,1,1
U33,22.533308,2.0332e-05,8.2569e-05,2.4717e-06,-1,-1,-1
U34,22.749852,1.7114e-05,9.8092e-05,2.4717e-06,-1,-1,-1
F5,23.136,1.3e-05,0.00012437,2.4717e-06,0,3,-2
U35,23.368138,4.4029e-05,3.8129e-05,2.4717e-06,-1,-1,-1
F6,23.8392,7.7e-06,0.00021872,2.4717e-06,0,3,-1
U36,23.970013,2.5491e-05,6.5857e-05,2.4717e-06,-1,-1,-1
U37,24.064346,8.604e-05,1.9512e-05,2.4717e-06,-1,-1,-1
F7,24.4054,8.1e-05,2.0736e-05,2.4717e-06,0,3,0
U38,24.884379,2.8051e-05,5.9847e-05,2.4717e-06,-1,-1,-1
F8,25.0142,3.4e-05,4.9099e-05,2.4717e-06,0,3,1
U39,25.135673,5.8612e-05,2.8642e-05,2.4717e-06,-1,-1,-1
U40,25.489228,1.6274e-05,0.00010316,2.4717e-06,-1,-1,-1
U41,25.767692,5.7346e-05,2.9275e-05,2.4717e-06,-1,-1,-1
U42,25.972444,5.9732e-05,2.8105e-05,2.4717e-06,-1,-1,-1
U43,26.084491,1.6406e-05,0.00010232,2.4717e-06,-1,-1,-1
F9,26.2144,7.8e-06,0.00021465,2.4717e-06,0,3,3
U44,26.322125,8.7816e-05,1.9117e-05,2.4717e-06,-1,-1,-1
U45,26.497564,4.8943e-05,3.4301e-05,2.4717e-06,-1,-1,-1
