label,f_obs,freq_err,a_obs,amp_err,n_obs,l_obs,m_obs
U1,0.158894,3.8057e-05,3.7739e-05,2.1145e-06,-1,-1,-1
U2,0.299583,5.053e-05,2.8423e-05,2.1145e-06,-1,-1,-1
U3,0.458966,5.5268e-05,2.5986e-05,2.1145e-06,-1,-1,-1
U4,0.545703,8.0477e-05,1.7846e-05,2.1145e-06,-1,-1,-1
U5,0.796093,0.00010696,1.3428e-05,2.1145e-06,-1,-1,-1
U6,1.088545,0.00010593,1.3558e-05,2.1145e-06,-1,-1,-1
U7,1.454739,9.1902e-05,1.5628e-05,2.1145e-06,-1,-1,-1
U8,1.478292,0.00010948,1.3119e-05,2.1145e-06,-1,-1,-1
U9,1.643649,0.00010182,1.4105e-05,2.1145e-06,-1,-1,-1
U10,1.971819,9.1713e-05,1.566e-05,2.1145e-06,-1,-1,-1
F1,17.039629,4.5836e-06,0.00031334,2.1145e-06,-1,2,-2
U11,17.501798,8.3162e-05,1.727e-05,2.1145e-06,-1,-2,-1
F2,18.019278,1.4713e-05,9.7612e-05,2.1145e-06,-1,3,-3
U12,18.687231,2.9377e-05,4.8889e-05,2.1145e-06,-1,-1,-1
U13,18.768463,3.5067e-05,4.0956e-05,2.1145e-06,-2,-3,1
U14,19.598029,4.8281e-05,2.9747e-05,2.1145e-06,-1,-1,-1
F3,19.848683,3.7302e-05,3.8502e-05,2.1145e-06,-1,3,-1
F4,20.260403,2.0205e-05,7.1083e-05,2.1145e-06,-1,2,2
U15,20.436988,6.0793e-06,0.00023625,2.1145e-06,-1,-3,0
U16,20.494511,0.00010045,1.4298e-05,2.1145e-06,-1,-1,-1
U17,20.854016,1.4251e-05,0.00010078,2.1145e-06,1,-9,0
F5,20.999345,7.9366e-05,1.8096e-05,2.1145e-06,1,0,0
U18,21.681321,5.9001e-05,2.4342e-05,2.1145e-06,-1,-1,-1
F6,21.770003,6.766e-06,0.00021227,2.1145e-06,-1,3,1
U19,21.897716,5.8735e-05,2.4452e-05,2.1145e-06,1,-1,0
U20,22.089558,5.2105e-06,0.00027564,2.1145e-06,1,-1,1
U21,22.418512,1.0767e-05,0.00013339,2.1145e-06,1,-1,1
U22,22.909289,4.6737e-05,3.0729e-05,2.1145e-06,0,-3,-2
U23,23.324224,1.5736e-05,9.1269e-05,2.1145e-06,0,-2,2
F7,23.735532,6.7547e-06,0.00021262,2.1145e-06,-1,3,3
U24,25.029,4.1477e-05,3.4627e-05,2.1145e-06,1,-2,-2
U25,25.114799,2.0323e-05,7.067e-05,2.1145e-06,0,-3,1
U26,25.218728,6.5811e-05,2.1824e-05,2.1145e-06,-1,-1,-1
U27,25.334502,2.2637e-05,6.3445e-05,2.1145e-06,1,-2,-2
U28,25.517618,3.0009e-05,4.786e-05,2.1145e-06,1,-3,-3
U29,25.838917,6.7013e-05,2.1432e-05,2.1145e-06,-1,-1,-1
U30,26.144457,6.9053e-05,2.0799e-05,2.1145e-06,-1,-1,-1
U31,26.244734,6.8844e-05,2.0862e-05,2.1145e-06,-1,-1,-1
U32,26.341264,1.2225e-05,0.00011748,2.1145e-06,1,-2,0
U33,26.69043,4.065e-05,3.5332e-05,2.1145e-06,1,-2,0
U34,27.0943,4.065e-05,3.5332e-05,2.1145e-06,-1,-1,-1
U35,27.38693,4.1077e-06,0.00034964,2.1145e-06,1,-2,1
U36,27.452809,2.2546e-05,6.3701e-05,2.1145e-06,-1,-1,-1
U37,27.622707,5.0391e-06,0.00028501,2.1145e-06,1,-2,1
U38,27.725705,3.3783e-05,4.2513e-05,2.1145e-06,2,-1,0
U39,27.957843,5.7591e-05,2.4938e-05,2.1145e-06,2,-1,0
U40,28.684628,4.6608e-05,3.0815e-05,2.1145e-06,2,-1,1
U41,29.180434,4.5277e-05,3.1721e-05,2.1145e-06,2,-1,1
U42,29.258035,0.00010284,1.3965e-05,2.1145e-06,-1,-1,-1
U43,30.131923,1.6892e-05,8.5023e-05,2.1145e-06,2,-2,-3
F8,30.721052,5.6625e-05,2.5364e-05,2.1145e-06,2,2,-1
F9,31.119772,9.4381e-05,1.5217e-05,2.1145e-06,1,3,3
F10,31.637131,8.2185e-06,0.00017475,2.1145e-06,2,2,0
U44,31.809601,4.6598e-05,3.0821e-05,2.1145e-06,-1,-1,-1
U45,32.361801,9.5277e-05,1.5074e-05,2.1145e-06,-1,-1,-1
F11,32.457651,2.3278e-06,0.00061699,2.1145e-06,2,2,1
F12,32.625511,5.686e-05,2.5259e-05,2.1145e-06,2,3,-1
F13,34.518761,8.2559e-05,1.7396e-05,2.1145e-06,2,3,1
U46,35.021595,6.9155e-06,0.00020768,2.1145e-06,3,-1,0
U47,35.214346,2.2015e-05,6.5238e-05,2.1145e-06,2,-3,2
F14,35.432025,6.5784e-06,0.00021832,2.1145e-06,2,3,2
U48,37.161475,9.1084e-05,1.5768e-05,2.1145e-06,3,-3,-3
F15,38.187892,2.0783e-05,6.9104e-05,2.1145e-06,3,3,-2
F16,38.534892,4.6512e-06,0.00030878,2.1145e-06,3,2,1
F17,41.54037,6.0503e-05,2.3738e-05,2.1145e-06,4,1,0
U49,42.051071,2.8886e-05,4.972e-05,2.1145e-06,3,-3,2
U50,45.170462,6.9813e-05,2.0572e-05,2.1145e-06,5,-9,0
F18,45.271198,9.2913e-05,1.5458e-05,2.1145e-06,5,0,0
U51,48.948549,0.00010858,1.3227e-05,2.1145e-06,4,-3,2
U52,51.954555,0.00010538,1.3629e-05,2.1145e-06,5,-2,1
U53,52.079889,2.032e-05,7.0679e-05,2.1145e-06,-1,-1,-1
F19,55.249461,8.1295e-05,1.7667e-05,2.1145e-06,6,1,0
